arm,shared_scenes,cells_total,tsr_strict_n,tsr_strict_pct,tsr_achievable_n,tsr_achievable_pct,msr_completed,msr_trackable,msr_strict_pct,msr_ceiling_pct,msr_msr_pct,esc_deadlock_cells,nav_freeze_cells,pacing_cells,clean_cells,frozen_pct_median,stalled_pct_median,revisit_pct_median,coverage_median,esc_presses_total,cells_self_reporting_loop
prolong,20,154,1,5.0,1,5.0,28,80,35.0,35.9,37.5,0,4,3,13,7.0,79.6,89.0,0.11,0,0
default,20,33,1,5.0,1,5.0,18,80,22.5,23.1,25.0,0,0,2,18,0.0,77.4,90.0,0.10,16,19
hypothesis,20,20,0,0.0,0,0.0,14,80,17.5,17.9,20.0,3,1,2,14,0.0,77.9,90.5,0.10,298,20
